iter	Passed	Remaining
0	51	10246
1	55	5480
2	58	3845
3	61	3004
4	64	2497
5	66	2160
6	69	1918
7	72	1735
8	75	1597
9	77	1481
10	80	1385
11	83	1306
12	86	1240
13	88	1181
14	91	1127
15	94	1083
16	96	1042
17	99	1005
18	102	972
19	104	943
20	107	915
21	109	887
22	112	865
23	115	843
24	117	822
25	119	802
26	122	781
27	124	763
28	126	744
29	128	725
30	129	707
31	131	690
32	133	673
33	134	657
34	136	641
35	137	626
36	138	611
37	140	597
38	141	582
39	142	569
40	143	555
41	144	543
42	145	530
43	146	518
44	147	506
45	147	495
46	148	484
47	149	473
48	150	462
49	150	452
50	151	443
51	152	433
52	153	424
53	153	415
54	154	406
55	155	398
56	155	390
57	156	383
58	157	375
59	157	368
60	158	361
61	159	354
62	159	347
63	160	341
64	161	335
65	162	328
66	162	322
67	163	317
68	164	311
69	164	305
70	165	300
71	166	295
72	166	290
73	167	285
74	168	280
75	168	275
76	169	271
77	170	266
78	171	262
79	171	257
80	172	253
81	173	249
82	173	244
83	174	240
84	175	236
85	175	233
86	176	229
87	177	225
88	177	221
89	178	218
90	179	214
91	180	211
92	180	207
93	181	204
94	182	201
95	182	198
96	183	195
97	184	191
98	185	188
99	185	185
100	186	182
101	187	179
102	188	177
103	188	174
104	189	171
105	190	168
106	191	166
107	191	163
108	192	160
109	193	157
110	193	155
111	194	152
112	195	150
113	195	147
114	196	145
115	197	142
116	198	140
117	198	138
118	199	135
119	200	133
120	200	131
121	201	128
122	202	126
123	202	124
124	203	122
125	204	119
126	204	117
127	205	115
128	206	113
129	207	111
130	207	109
131	208	107
132	209	105
133	210	103
134	210	101
135	211	99
136	212	97
137	212	95
138	213	93
139	214	91
140	214	89
141	215	88
142	216	86
143	216	84
144	217	82
145	218	80
146	218	78
147	219	77
148	220	75
149	221	73
150	221	71
151	222	70
152	223	68
153	223	66
154	224	65
155	225	63
156	225	61
157	226	60
158	227	58
159	228	57
160	228	55
161	229	53
162	230	52
163	230	50
164	231	49
165	232	47
166	232	46
167	233	44
168	234	42
169	234	41
170	235	39
171	236	38
172	237	36
173	237	35
174	238	34
175	239	32
176	239	31
177	240	29
178	241	28
179	241	26
180	242	25
181	243	24
182	244	22
183	245	21
184	246	19
185	246	18
186	247	17
187	248	15
188	249	14
189	249	13
190	250	11
191	251	10
192	252	9
193	253	7
194	254	6
195	254	5
196	255	3
197	256	2
198	256	1
199	257	0
